,Object Name,Object Classification,Epoch (TDB),Orbit Axis (AU),Orbit Eccentricity,Orbit Inclination (deg),Perihelion Argument (deg),Node Longitude (deg),Mean Anomoly (deg),Perihelion Distance (AU),Aphelion Distance (AU),Orbital Period (yr),Minimum Orbit Intersection Distance (AU),Orbital Reference,Asteroid Magnitude,Close-Approach (CA) Date,CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity,PHA
190,2013 BO73,Apollo Asteroid (Hazard),57800.0,1.3319,0.4184,4.5441,298.1442,24.8161,0.0522,0.7746,1.89,1.54,0.0176,46.0,20.1,1904-Oct-26 23:54 ±    00:09,0.03922,0.03916,11.24,11.23,20.2,0.554,1.0,True
195,2006 WJ3,Apollo Asteroid (Hazard),57800.0,1.7518,0.4242,15.3653,178.4679,232.5903,150.2337,1.0087,2.49,2.32,0.0204,37.0,20.0,1904-Nov-15 02:29 ±    00:02,0.02037,0.02037,10.26,10.25,20.0,0.6,2.0,True
197,2016 PO38,Apollo Asteroid (Hazard),57800.0,1.893,0.5746,9.2887,287.69,129.5186,37.538,0.8053,2.98,2.6,0.0321,7.0,22.0,1905-Jan-19 14:33 ± 1_03:06,0.04209,0.0384,15.09,15.09,22.1,0.23,1.0,True
204,2014 AY28,Amor Asteroid (Hazard),57800.0,1.4254,0.2826,5.7086,22.6348,169.6107,249.9209,1.0226,1.83,1.7,0.0365,61.0,21.8,1905-Mar-26 08:45 ±    00:59,0.04126,0.04118,4.7,4.68,21.9,0.25,1.0,True
208,2002 VR85,Apollo Asteroid (Hazard),57800.0,1.8166,0.6039,6.0193,298.8696,204.8155,268.726,0.7195,2.91,2.45,0.0265,14.0,20.4,1905-Apr-27 03:07 ± < 00:01,0.02202,0.02202,15.86,15.85,20.3,0.52,2.0,True
209,2016 FY3,Apollo Asteroid (Hazard),57800.0,2.6262,0.6888,22.456,238.3312,35.9694,59.6857,0.8173,4.44,4.26,0.0048,34.0,21.3,1905-Apr-29 18:43 ±    08:18,0.0176,0.0176,20.63,20.63,21.2,0.256,2.0,True
213,2007 LU19,Apollo Asteroid (Hazard),54270.0,2.3788,0.6265,2.6119,142.6447,64.0057,11.5285,0.8886,3.87,3.67,0.008,8.0,21.5,1905-Jun-03 08:23 ±    00:02,0.00763,0.00762,12.85,12.82,21.3,0.33,2.0,True
221,2011 AK5,Apollo Asteroid (Hazard),57800.0,1.1877,0.2307,5.5225,325.662,316.8181,85.8747,0.9137,1.46,1.29,0.0373,42.0,21.5,1905-Aug-22 16:40 ±    00:01,0.04885,0.04884,6.05,6.04,21.5,0.3,1.0,True
224,2013 JL22,Apollo Asteroid (Hazard),57800.0,1.1872,0.5943,3.0648,69.0008,38.0352,15.8495,0.4817,1.89,1.29,0.0024,16.0,21.3,1905-Sep-17 02:42 ±    00:07,0.04227,0.04223,17.99,17.98,21.3,0.33,1.0,True
225,2008 OC6,Aten Asteroid (Hazard),57800.0,0.923,0.1992,21.8451,295.8534,177.6131,139.6223,0.7391,1.11,0.89,0.0293,54.0,18.6,1905-Sep-19 01:37 ± < 00:01,0.03482,0.03482,12.02,12.02,18.6,0.45,2.0,True
229,2007 TL23,Apollo Asteroid (Hazard),57800.0,1.1344,0.7365,2.1215,101.9263,136.7755,313.0486,0.2989,1.97,1.21,0.017,21.0,21.4,1906-Jan-07 10:37 ±    00:01,0.03749,0.03748,25.92,25.92,21.5,0.3,1.0,True
230,2012 FO62,Apollo Asteroid (Hazard),57800.0,2.0145,0.5159,3.9801,212.7867,258.535,285.9031,0.9753,3.05,2.86,0.0194,22.0,20.2,1906-Jan-08 17:28 ±    08:24,0.03473,0.03434,7.07,7.06,20.2,0.54,1.0,True
235,2014 PW59,Apollo Asteroid (Hazard),57800.0,2.4222,0.693,2.2672,289.4726,301.0897,255.646,0.7436,4.1,3.77,0.0006,10.0,20.9,1906-Feb-26 11:49 ±    02:03,0.01021,0.0094,18.5,18.49,20.9,0.44999999999999996,2.0,True
237,2007 EF,Aten Asteroid (Hazard),57800.0,0.8203,0.4101,21.735,226.0063,158.377,234.0225,0.4839,1.16,0.74,0.0251,25.0,21.4,1906-Mar-01 05:33 ± < 00:01,0.03877,0.03877,14.34,14.33,21.3,0.265,1.0,True
239,2003 BB21,Apollo Asteroid (Hazard),57800.0,2.2312,0.5538,4.773,212.7703,344.1747,60.8794,0.9955,3.47,3.33,0.0273,30.0,20.9,1906-Mar-19 06:20 ±    00:01,0.02787,0.02787,8.47,8.46,20.9,0.39,1.0,True
