Object Name,CA DistanceNominal (au)
2013 CW32,0.03623
2010 FR,0.01343
2014 YW34,0.04951
2009 VZ,0.03524
2014 SP142,0.01227
2008 FW5,0.03574
2011 CX46,0.04196
2011 OA,0.04574
2004 EW,0.04907
2013 HT15,0.04225
2013 GR38,0.04814
2009 QS,0.04702
2005 XT77,0.03434
2014 OM339,0.03213
2002 JX8,0.03655
2013 AN20,0.03594
2016 PN38,0.03851
2015 CX12,0.04454
2008 XA2,0.02584
2007 US12,0.0211
2014 KQ76,0.04115
2013 TT135,0.04121
2006 TU7,0.03016
1989 VB,0.01866
2008 PJ9,0.04357
2008 HH,0.03894
2011 DV,0.00594
2003 HG2,0.0499
2005 JU81,0.04505
2011 BO59,0.03438
2016 EH157,0.03714
2016 PO38,0.04209
2006 ON1,0.04263
2006 BE55,0.02482
1999 SO5,0.03438
2012 OQ,0.0395
2012 OO,0.03838
2012 XS111,0.04844
2011 LT17,0.03336
2011 LJ19,0.01701
2003 SS84,0.02942
2009 FF,0.02697
2010 XB24,0.03561
2012 VO6,0.02555
2005 LW3,0.01072
2016 SJ1,0.02092
2015 XK261,0.04007
2015 AH,0.03806
2016 JW5,0.03518
2014 YB35,0.03602
2007 FF1,0.04962
2010 JV34,0.04168
1999 YD,0.03211
1997 XR2,0.04065
2010 NY65,0.04399
2016 JU33,0.01724
2005 GD60,0.03331
2004 RQ10,0.04433
2006 HC2,0.01701
2010 XC15,0.01688
2014 YR15,0.04346
2010 JG,0.0445
2017 BR31,0.03002
2016 FC15,0.03362
2016 UF101,0.04208
2013 JM14,0.02088
2003 GP51,0.03932
2015 FC35,0.02217
2003 AC23,0.03586
2000 QK130,0.01766
2001 US16,0.02753
2008 SH82,0.04844
2010 DO,0.01355
2010 VT11,0.02917
2004 FG11,0.04956
2014 OT111,0.04298
2016 TR54,0.03736
2003 YS17,0.03064
2003 GQ22,0.03036
2001 VJ5,0.02156
2014 QK434,0.01039
1999 UR,0.01773
2006 CU,0.0355
2013 US3,0.0259
2009 SQ104,0.0422
2004 FY31,0.03103
2010 AF30,0.04299
2015 XW377,0.03517
2004 KH17,0.04693
2016 CL136,0.03164
2010 SH13,0.04416
2008 WN2,0.04864
2012 XO111,0.01779
2014 TY33,0.04501
2012 FG58,0.04306
2013 WT45,0.04345
2006 VG13,0.04654
2002 TB70,0.04647
2014 NG65,0.04399
2011 EJ47,0.03934
2010 DF1,0.04259
2008 RV,0.03891
2001 JV1,0.04235
2014 MK55,0.0323
2016 AK193,0.03912
2010 JN71,0.02135
2004 CO49,0.03715
2008 EV5,0.02562
2001 XP31,0.02699
2007 CN26,0.0027
2016 AZ8,0.02868
2003 WH166,0.04448
2010 KX7,0.04362
2006 KL21,0.04853
2000 AF205,0.04578
2005 PA5,0.03833
2010 TP54,0.04211
2011 EM51,0.04655
2016 AF193,0.03103
2001 YP3,0.0324
2013 FX7,0.04915
2014 MP5,0.04507
2009 EK1,0.03308
2011 BT15,0.04881
2012 KC6,0.04894
1999 LK1,0.04137
2006 KV89,0.02727
2007 YU56,0.04862
2003 TO9,0.02206
2013 WR43,0.04004
1989 UP,0.0052
2003 BH,0.04766
2000 EA14,0.04439
2010 ON101,0.04592
2006 KM103,0.0221
2012 XF133,0.03994
2003 RS1,0.03415
2000 EH26,0.04361
2013 CU83,0.04176
2011 AG5,0.03144
2002 AT4,0.04025
2007 GQ3,0.03279
2013 LF7,0.01298
2009 BL71,0.02928
2014 SS1,0.03608
2004 PJ2,0.04874
2000 SL10,0.01133
2002 CZ9,0.03842
2007 SR11,0.02606
2011 AK5,0.04885
1993 BX3,0.04843
2008 CN1,0.04569
2004 SS,0.04066
2010 PK9,0.04267
2016 PR38,0.01462
2015 BY310,0.03629
1998 WB2,0.01684
2008 HS3,0.04236
2016 BC14,0.02452
2015 VE1,0.03202
2015 GY,0.03161
2012 EY11,0.03757
2009 DL46,0.02533
2009 FY4,0.04414
2002 NV16,0.02861
2011 UV63,0.03454
2015 BW310,0.01158
2009 WZ104,0.03501
2007 SQ6,0.03627
2013 BZ45,0.04942
2015 RH2,0.03608
2014 KS40,0.04909
2013 NJ,0.03559
2016 JC6,0.03434
2005 ED318,0.02327
2006 UQ17,0.02911
2015 DP155,0.04257
2010 BK2,0.04058
2000 AC6,0.04759
2014 AY28,0.04126
2011 CG2,0.04499
2014 YS34,0.01203
2010 VD72,0.01299
2010 FF10,0.04261
2000 AZ93,0.03994
